Citation of software for United States,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,5.0,4.23728813559322,5.797101449275362,-1.5598133136821426
3,7.0,5.932203389830509,5.797101449275362,0.13510194055514635
4,2.0,1.694915254237288,5.797101449275362,-4.102186195038074
5,6.0,5.084745762711865,11.594202898550725,-6.5094571358388595
6,7.0,5.932203389830509,2.898550724637681,3.0336526651928275
7,9.0,7.627118644067797,7.246376811594203,0.3807418324735936
8,24.0,20.33898305084746,9.420289855072465,10.918693195774996
9,15.0,12.711864406779661,6.521739130434782,6.190125276344879
10 (All the time),34.0,28.8135593220339,22.463768115942027,6.349791206091872
