,Country,education comparison,Total count,Percentage per countries
0,Australia,Doctorate,63,64.29
1,Australia,Other,24,24.49
2,Australia,Master degree,11,11.22
3,Germany,Master degree,309,47.03
4,Germany,Doctorate,290,44.14
5,Germany,Other,58,8.83
6,Netherlands,Doctorate,70,54.26
7,Netherlands,Master degree,51,39.53
8,Netherlands,Other,8,6.2
9,New Zealand,Doctorate,14,37.84
10,New Zealand,Other,13,35.14
11,New Zealand,Master degree,10,27.03
12,South Africa,Doctorate,21,50.0
13,South Africa,Other,12,28.57
14,South Africa,Master degree,9,21.43
15,United Kingdom,Doctorate,333,69.09
16,United Kingdom,Master degree,103,21.37
17,United Kingdom,Other,46,9.54
18,United States,Doctorate,165,53.23
19,United States,Master degree,87,28.06
20,United States,Other,58,18.71
21,World,Doctorate,35,64.81
22,World,Master degree,14,25.93
23,World,Other,5,9.26
