in which field for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
Biological Sciences,15.0,53.57142857142857,27.027027027027028,26.54440154440154
Computer Science,10.0,35.714285714285715,45.94594594594595,-10.231660231660236
Mathematics,9.0,32.142857142857146,18.91891891891892,13.223938223938227
Physics and Astronomy,8.0,28.57142857142857,24.324324324324326,4.247104247104243
Geography & Environmental Sciences,8.0,28.57142857142857,40.54054054054054,-11.969111969111971
General Engineering,4.0,14.285714285714285,10.81081081081081,3.474903474903474
Chemistry,3.0,10.714285714285714,8.108108108108109,2.6061776061776047
Agriculture & Forestry,3.0,10.714285714285714,8.108108108108109,2.6061776061776047
Linguistics,2.0,7.142857142857142,5.405405405405405,1.737451737451737
Business & Management Studies,2.0,7.142857142857142,0.0,7.142857142857142
Civil Engineering,2.0,7.142857142857142,13.513513513513514,-6.370656370656372
Aeronautical & Manufacturing Engineering,2.0,7.142857142857142,5.405405405405405,1.737451737451737
Geology,2.0,7.142857142857142,8.108108108108109,-0.9652509652509664
Food Science,2.0,7.142857142857142,0.0,7.142857142857142
Criminology,2.0,7.142857142857142,0.0,7.142857142857142
Materials Technology,2.0,7.142857142857142,8.108108108108109,-0.9652509652509664
Electrical & Electronic Engineering,1.0,3.571428571428571,10.81081081081081,-7.239382239382239
Economics,1.0,3.571428571428571,0.0,3.571428571428571
Mechanical Engineering,1.0,3.571428571428571,10.81081081081081,-7.239382239382239
Medicine,1.0,3.571428571428571,5.405405405405405,-1.833976833976834
Psychology,1.0,3.571428571428571,2.7027027027027026,0.8687258687258685
Education,1.0,3.571428571428571,5.405405405405405,-1.833976833976834
Robotics,1.0,3.571428571428571,2.7027027027027026,0.8687258687258685
Dentistry,1.0,3.571428571428571,0.0,3.571428571428571
Anatomy & Physiology,1.0,3.571428571428571,2.7027027027027026,0.8687258687258685
Chemical Engineering,1.0,3.571428571428571,2.7027027027027026,0.8687258687258685
Complementary Medicine,1.0,3.571428571428571,0.0,3.571428571428571
Communication & Media Studies,1.0,3.571428571428571,2.7027027027027026,0.8687258687258685
Classics & Ancient History,1.0,3.571428571428571,0.0,3.571428571428571
Social Work,0.0,0.0,2.7027027027027026,-2.7027027027027026
History,0.0,0.0,2.7027027027027026,-2.7027027027027026
Art & Design,0.0,0.0,2.7027027027027026,-2.7027027027027026
Anthropology,0.0,0.0,2.7027027027027026,-2.7027027027027026
Accounting & Finance,0.0,0.0,2.7027027027027026,-2.7027027027027026
Youth Work,0.0,0.0,2.7027027027027026,-2.7027027027027026
