Programming languages for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
Python,176.0,68.21705426356588,63.36336336336337,4.8536909002025155
C++,76.0,29.457364341085274,37.53753753753754,-8.080173196452265
R,65.0,25.1937984496124,20.72072072072072,4.473077728891681
JavaScript,53.0,20.54263565891473,22.822822822822822,-2.280187163908092
Java,50.0,19.379844961240313,22.22222222222222,-2.842377260981909
C,44.0,17.05426356589147,26.426426426426424,-9.372162860534953
SQL,43.0,16.666666666666664,19.81981981981982,-3.1531531531531556
Matlab,41.0,15.891472868217054,21.92192192192192,-6.030449053704867
other. What programming languages do you use at work? Please select all that apply. ,37.0,14.34108527131783,0.0,14.34108527131783
Fortran,35.0,13.565891472868216,17.417417417417415,-3.8515259445491985
PHP,21.0,8.13953488372093,9.30930930930931,-1.169774425588379
Perl,21.0,8.13953488372093,4.804804804804805,3.3347300789161256
Julia,16.0,6.2015503875969,4.2042042042042045,1.997346183392695
TypeScript,15.0,5.813953488372093,4.2042042042042045,1.6097492841678882
C#,9.0,3.488372093023256,8.708708708708707,-5.220336615685452
Go,5.0,1.937984496124031,2.1021021021021022,-0.16411760597807135
Ruby,4.0,1.550387596899225,1.8018018018018018,-0.25141420490257693
Rust,4.0,1.550387596899225,2.4024024024024024,-0.8520148055031775
Groovy,4.0,1.550387596899225,1.5015015015015014,0.048886095397723484
Scala,3.0,1.1627906976744187,1.5015015015015014,-0.33871080382708274
Assembly,2.0,0.7751937984496124,2.4024024024024024,-1.62720860395279
Haskell,2.0,0.7751937984496124,0.9009009009009009,-0.12570710245128847
Lua,2.0,0.7751937984496124,1.5015015015015014,-0.726307703051889
Visual Basic,2.0,0.7751937984496124,1.5015015015015014,-0.726307703051889
F#,2.0,0.7751937984496124,0.0,0.7751937984496124
VBA,1.0,0.3875968992248062,3.303303303303303,-2.915706404078497
Dart,1.0,0.3875968992248062,0.0,0.3875968992248062
CoffeeScript,1.0,0.3875968992248062,0.3003003003003003,0.08729659892450592
Swift,1.0,0.3875968992248062,0.6006006006006006,-0.21300370137579439
VB.NET,0.0,0.0,1.5015015015015014,-1.5015015015015014
Objective-C,0.0,0.0,0.3003003003003003,-0.3003003003003003
Common Lisp,0.0,0.0,0.9009009009009009,-0.9009009009009009
