Programming languages for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
Python,21.0,75.0,78.37837837837837,-3.378378378378372
R,14.0,50.0,40.54054054054054,9.45945945945946
SQL,10.0,35.714285714285715,40.54054054054054,-4.826254826254825
Fortran,10.0,35.714285714285715,27.027027027027028,8.687258687258687
C,9.0,32.142857142857146,35.13513513513514,-2.992277992277991
C++,7.0,25.0,29.72972972972973,-4.72972972972973
JavaScript,7.0,25.0,37.83783783783784,-12.837837837837839
Perl,5.0,17.857142857142858,21.62162162162162,-3.7644787644787634
Matlab,4.0,14.285714285714285,16.216216216216218,-1.9305019305019329
Rust,3.0,10.714285714285714,2.7027027027027026,8.01158301158301
Julia,3.0,10.714285714285714,8.108108108108109,2.6061776061776047
Java,2.0,7.142857142857142,27.027027027027028,-19.884169884169886
TypeScript,2.0,7.142857142857142,5.405405405405405,1.737451737451737
VB.NET,2.0,7.142857142857142,0.0,7.142857142857142
VBA,2.0,7.142857142857142,2.7027027027027026,4.44015444015444
C#,2.0,7.142857142857142,5.405405405405405,1.737451737451737
Go,1.0,3.571428571428571,2.7027027027027026,0.8687258687258685
Visual Basic,1.0,3.571428571428571,2.7027027027027026,0.8687258687258685
other. What programming languages do you use at work? Please select all that apply. ,1.0,3.571428571428571,0.0,3.571428571428571
Lua,1.0,3.571428571428571,0.0,3.571428571428571
Objective-C,1.0,3.571428571428571,0.0,3.571428571428571
Clojure,1.0,3.571428571428571,0.0,3.571428571428571
Swift,0.0,0.0,2.7027027027027026,-2.7027027027027026
PHP,0.0,0.0,8.108108108108109,-8.108108108108109
Assembly,0.0,0.0,2.7027027027027026,-2.7027027027027026
Erlang,0.0,0.0,2.7027027027027026,-2.7027027027027026
Common Lisp,0.0,0.0,2.7027027027027026,-2.7027027027027026
