Use of Digital Object Identifier for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,4.0,14.814814814814813,5.681818181818182,9.132996632996631
3,3.0,11.11111111111111,5.681818181818182,5.429292929292929
4,1.0,3.7037037037037033,7.954545454545454,-4.250841750841751
5,3.0,11.11111111111111,5.681818181818182,5.429292929292929
6,1.0,3.7037037037037033,6.8181818181818175,-3.114478114478114
7,3.0,11.11111111111111,3.4090909090909087,7.702020202020202
8,1.0,3.7037037037037033,3.4090909090909087,0.29461279461279455
9,,,,
10 (All the time),3.0,11.11111111111111,6.8181818181818175,4.292929292929293
