Use of Digital Object Identifier for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,10.0,7.874015748031496,8.878504672897195,-1.004488924865699
3,9.0,7.086614173228346,6.5420560747663545,0.5445580984619918
4,9.0,7.086614173228346,4.672897196261682,2.413716976966664
5,11.0,8.661417322834646,8.878504672897195,-0.21708735006254898
6,9.0,7.086614173228346,5.14018691588785,1.9464272573404964
7,10.0,7.874015748031496,4.672897196261682,3.201118551769814
8,17.0,13.385826771653544,3.7383177570093453,9.6475090146442
9,2.0,1.574803149606299,2.803738317757009,-1.2289351681507101
10 (All the time),16.0,12.598425196850393,9.813084112149532,2.7853410847008604
