Where the previous job was based for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
University,105,47.94520547945205,46.00638977635783,1.938815703094221
Private company,33,15.068493150684931,,
Helmholtz Association of German Research Centres,29,13.24200913242009,9.904153354632587,3.337855777787503
Other,25,11.415525114155251,12.779552715654951,-1.3640276014997
Max Planck Society,14,6.392694063926941,2.8753993610223643,3.5172947029045765
University of Applied Sciences,4,1.82648401826484,1.5974440894568689,0.2290399288079712
Leibniz Association,4,1.82648401826484,3.5143769968051117,-1.6878929785402716
Government,3,1.36986301369863,1.5974440894568689,-0.22758107575823883
Fraunhofer Society,2,0.91324200913242,3.1948881789137378,-2.2816461697813177
